scenario,timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
j4_surge,1.0,J1,2,0,13.9,0.0,LOW
j4_surge,1.0,J2,2,0,12.73,0.0,LOW
j4_surge,1.0,J3,3,0,13.61,0.0,LOW
j4_surge,1.0,J4,2,0,13.11,0.0,LOW
j4_surge,6.0,J1,3,0,12.41,0.0,LOW
j4_surge,6.0,J2,4,0,12.05,0.0,LOW
j4_surge,6.0,J3,4,0,12.89,0.0,LOW
j4_surge,6.0,J4,2,0,12.17,0.0,LOW
j4_surge,11.0,J1,6,1,8.79,0.0,MODERATE
j4_surge,11.0,J2,6,1,10.35,0.17,LOW
j4_surge,11.0,J3,4,1,7.14,0.25,MODERATE
j4_surge,11.0,J4,4,1,10.13,0.0,LOW
j4_surge,16.0,J1,8,3,7.01,1.12,MODERATE
j4_surge,16.0,J2,7,1,11.07,0.86,MODERATE
j4_surge,16.0,J3,6,2,8.36,1.33,MODERATE
j4_surge,16.0,J4,8,2,8.36,0.5,MODERATE
j4_surge,21.0,J1,7,3,5.88,2.86,MODERATE
j4_surge,21.0,J2,6,2,8.69,1.83,MODERATE
j4_surge,21.0,J3,8,4,4.92,2.5,HIGH
j4_surge,21.0,J4,9,2,9.0,1.22,MODERATE
j4_surge,26.0,J1,8,5,4.89,4.5,HIGH
j4_surge,26.0,J2,7,2,8.59,2.71,MODERATE
j4_surge,26.0,J3,11,4,6.58,3.45,MODERATE
j4_surge,26.0,J4,9,2,7.82,2.33,MODERATE
j4_surge,31.0,J1,10,6,4.75,5.7,HIGH
j4_surge,31.0,J2,7,2,8.22,4.14,MODERATE
j4_surge,31.0,J3,10,6,4.22,6.1,HIGH
j4_surge,31.0,J4,11,4,8.28,3.27,MODERATE
j4_surge,36.0,J1,10,6,4.88,7.9,HIGH
j4_surge,36.0,J2,8,3,7.25,5.25,MODERATE
j4_surge,36.0,J3,11,7,3.25,8.45,HIGH
j4_surge,36.0,J4,9,4,6.93,5.78,MODERATE
j4_surge,41.0,J1,10,7,3.52,10.8,HIGH
j4_surge,41.0,J2,8,3,7.0,7.12,MODERATE
j4_surge,41.0,J3,13,10,2.62,10.15,CRITICAL
j4_surge,41.0,J4,11,5,6.54,6.55,MODERATE
j4_surge,46.0,J1,12,8,2.81,5.83,CRITICAL
j4_surge,46.0,J2,10,5,4.83,1.5,HIGH
j4_surge,46.0,J3,15,11,3.12,7.13,CRITICAL
j4_surge,46.0,J4,12,7,4.32,3.0,HIGH
j4_surge,51.0,J1,14,4,5.22,0.64,MODERATE
j4_surge,51.0,J2,11,4,6.61,0.64,MODERATE
j4_surge,51.0,J3,16,5,5.31,0.25,HIGH
j4_surge,51.0,J4,13,5,5.64,0.85,MODERATE
j4_surge,56.0,J1,14,3,7.29,1.43,MODERATE
j4_surge,56.0,J2,16,6,6.48,1.56,HIGH
j4_surge,56.0,J3,17,3,9.05,1.0,HIGH
j4_surge,56.0,J4,16,6,8.03,2.12,HIGH
j4_surge,61.0,J1,8,3,6.96,4.38,MODERATE
j4_surge,61.0,J2,20,9,6.18,2.85,HIGH
j4_surge,61.0,J3,12,4,8.56,2.67,MODERATE
j4_surge,61.0,J4,17,7,7.12,3.47,HIGH
j4_surge,66.0,J1,8,5,3.99,6.5,HIGH
j4_surge,66.0,J2,21,11,5.18,4.76,CRITICAL
j4_surge,66.0,J3,9,4,6.67,5.22,MODERATE
j4_surge,66.0,J4,15,7,6.41,5.93,HIGH
j4_surge,71.0,J1,7,5,3.08,10.57,HIGH
j4_surge,71.0,J2,19,12,3.52,7.89,CRITICAL
j4_surge,71.0,J3,9,5,4.83,7.44,HIGH
j4_surge,71.0,J4,12,8,4.09,10.25,HIGH
j4_surge,76.0,J1,10,6,4.94,9.9,HIGH
j4_surge,76.0,J2,21,16,2.57,10.14,CRITICAL
j4_surge,76.0,J3,11,6,4.76,8.27,HIGH
j4_surge,76.0,J4,13,8,3.61,12.46,HIGH
j4_surge,81.0,J1,11,7,3.79,11.55,HIGH
j4_surge,81.0,J2,22,18,1.64,13.23,CRITICAL
j4_surge,81.0,J3,12,7,5.27,10.08,HIGH
j4_surge,81.0,J4,15,9,4.32,13.6,HIGH
j4_surge,86.0,J1,11,7,4.37,14.64,HIGH
j4_surge,86.0,J2,25,21,1.76,15.28,CRITICAL
j4_surge,86.0,J3,12,7,4.65,12.67,HIGH
j4_surge,86.0,J4,15,11,3.45,16.87,CRITICAL
j4_surge,91.0,J1,12,9,2.96,5.92,CRITICAL
j4_surge,91.0,J2,27,23,1.39,13.26,CRITICAL
j4_surge,91.0,J3,13,9,3.54,5.08,HIGH
