scenario,timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
j1_surge,1.0,J1,2,0,13.9,0.0,LOW
j1_surge,1.0,J2,2,0,12.73,0.0,LOW
j1_surge,1.0,J3,3,0,13.61,0.0,LOW
j1_surge,1.0,J4,2,0,13.11,0.0,LOW
j1_surge,6.0,J1,5,0,12.53,0.0,LOW
j1_surge,6.0,J2,3,0,11.44,0.0,LOW
j1_surge,6.0,J3,3,0,12.6,0.0,LOW
j1_surge,6.0,J4,2,0,12.17,0.0,LOW
j1_surge,11.0,J1,9,2,8.95,0.0,MODERATE
j1_surge,11.0,J2,5,1,9.68,0.2,LOW
j1_surge,11.0,J3,4,1,8.14,0.25,MODERATE
j1_surge,11.0,J4,2,1,7.02,0.0,MODERATE
j1_surge,16.0,J1,13,5,7.11,0.92,MODERATE
j1_surge,16.0,J2,5,2,6.89,1.2,MODERATE
j1_surge,16.0,J3,5,1,10.62,1.2,LOW
j1_surge,16.0,J4,6,1,10.54,0.67,LOW
j1_surge,21.0,J1,12,5,6.49,2.83,MODERATE
j1_surge,21.0,J2,5,2,5.45,2.8,MODERATE
j1_surge,21.0,J3,7,2,8.88,1.71,MODERATE
j1_surge,21.0,J4,6,1,10.04,1.5,LOW
j1_surge,26.0,J1,14,7,5.07,4.43,HIGH
j1_surge,26.0,J2,7,3,5.9,3.86,MODERATE
j1_surge,26.0,J3,8,3,7.36,2.75,MODERATE
j1_surge,26.0,J4,5,2,8.11,2.8,MODERATE
j1_surge,31.0,J1,17,10,4.54,5.94,CRITICAL
j1_surge,31.0,J2,8,5,4.77,5.75,HIGH
j1_surge,31.0,J3,8,3,8.09,4.38,MODERATE
j1_surge,31.0,J4,6,3,6.99,4.0,MODERATE
j1_surge,36.0,J1,17,11,3.7,8.76,CRITICAL
j1_surge,36.0,J2,9,6,3.77,7.89,HIGH
j1_surge,36.0,J3,9,4,6.51,5.67,MODERATE
j1_surge,36.0,J4,5,2,7.78,6.8,MODERATE
j1_surge,41.0,J1,20,13,4.06,10.15,CRITICAL
